Index, X, Y, Depth
126, 974.50, 1540.55, 197.71
127, 780.52, 1313.41, 225.32
128, 796.46, 1180.87, 243.36
129, 347.14, 1860.79, 165.31
130, 387.86, 1045.20, 257.59
131, 815.30, 1133.76, 250.47
132, 750.72, 1579.36, 197.12
133, 482.54, 1196.94, 239.29
134, 442.27, 1854.42, 169.03
135, 202.23, 943.49, 256.31
136, 1048.47, 1821.47, 172.48
137, 172.47, 1525.82, 183.92
138, 347.82, 846.78, 292.52
139, 137.72, 1076.59, 229.88
140, 472.61, 1603.61, 190.45
141, 749.00, 1266.30, 233.04
142, 755.00, 1133.45, 252.01
143, 253.39, 1071.16, 239.42
144, 176.20, 956.69, 252.00
145, 203.35, 866.62, 270.58
146, 250.90, 1086.56, 238.30
147, 720.47, 1159.98, 249.13
148, 195.57, 963.50, 252.74
149, 738.27, 1022.79, 271.81
150, 340.04, 843.35, 295.73
151, 295.50, 1212.28, 223.33
152, 398.69, 1209.01, 233.36
153, 733.01, 872.53, 301.96
154, 759.61, 1265.83, 232.83
155, 758.98, 1020.24, 271.86
156, 842.17, 1061.06, 257.70
157, 817.82, 1050.05, 262.47
158, 796.80, 991.80, 274.37
159, 496.32, 867.32, 302.22
160, 895.05, 1748.01, 181.76
161, 312.33, 847.12, 288.41
162, 728.46, 1260.03, 233.93
163, 357.55, 1045.33, 254.35
164, 806.06, 981.64, 274.82
165, 845.49, 1022.26, 264.95
166, 290.65, 1041.36, 248.31
167, 463.88, 1179.59, 240.86
168, 448.44, 1058.24, 260.56
169, 236.69, 1044.08, 242.25
170, 776.50, 982.39, 277.33
171, 1001.66, 1743.95, 179.84
172, 343.74, 839.99, 292.51
173, 918.88, 1887.38, 170.81
174, 778.16, 1003.90, 273.66
175, 145.71, 910.35, 257.36
176, 911.44, 1852.23, 173.79
177, 323.53, 1888.57, 161.93
178, 195.15, 943.44, 256.53
179, 715.13, 919.66, 292.14
180, 874.20, 1637.81, 191.03
181, 558.39, 876.02, 303.32
182, 662.65, 1126.21, 255.80
183, 391.10, 815.93, 306.90
184, 881.81, 1523.26, 201.27
185, 827.92, 1341.27, 220.90
186, 1019.65, 1491.75, 200.89
187, 314.14, 1570.38, 186.96
188, 814.13, 1006.69, 269.91
189, 957.35, 1859.21, 172.43
190, 269.56, 842.45, 281.99
191, 688.76, 1302.53, 229.75
192, 905.61, 1698.44, 185.52
193, 814.28, 1368.04, 218.05
194, 381.07, 1697.44, 179.19
195, 633.39, 740.08, 338.55
196, 365.98, 1867.67, 165.34
197, 389.29, 1879.72, 165.36
198, 766.44, 964.31, 281.07
199, 816.88, 971.11, 276.56
200, 858.29, 1371.57, 217.05
201, 966.41, 1213.36, 231.68
202, 397.87, 1873.23, 165.89
203, 442.27, 1854.42, 169.03
204, 183.18, 1559.07, 181.31
205, 431.68, 908.64, 288.58
206, 243.83, 1644.58, 177.89
207, 347.88, 1766.93, 172.32
208, 437.93, 894.93, 292.19
209, 972.34, 1575.24, 194.88
210, 300.75, 1186.17, 227.71
211, 893.87, 1025.14, 260.25
212, 276.46, 1634.61, 179.60
213, 895.83, 1634.84, 191.00
214, 796.46, 1180.87, 243.36
215, 409.77, 1857.22, 167.81
216, 895.83, 1634.84, 191.00
217, 172.89, 843.30, 273.41
218, 771.42, 1709.49, 185.52
219, 798.10, 1267.06, 231.46
220, 823.95, 981.21, 272.42
221, 155.82, 877.48, 264.53
222, 899.31, 1081.52, 251.14
223, 899.06, 1786.77, 178.66
224, 831.13, 1349.84, 220.17
225, 871.74, 1128.09, 247.75
226, 834.00, 1044.82, 260.95
227, 862.17, 1043.79, 259.65
228, 922.46, 1734.86, 182.44
229, 856.82, 1070.56, 256.52
230, 713.02, 1147.71, 251.97
231, 916.86, 1718.34, 183.86
232, 360.16, 1876.18, 164.57
233, 891.62, 1291.51, 224.69
234, 687.58, 1019.43, 274.06
235, 646.04, 730.42, 340.71
236, 703.75, 1621.91, 192.92
237, 1065.32, 1751.49, 177.49
238, 1059.77, 1729.10, 179.34
239, 170.40, 939.49, 255.44
240, 435.74, 1745.50, 177.08
241, 796.39, 1184.67, 243.41
242, 171.16, 1035.72, 239.41
243, 624.10, 759.87, 334.01
244, 950.08, 1735.00, 182.13
245, 467.61, 1701.83, 181.49
246, 983.60, 944.56, 247.27
247, 663.99, 795.16, 323.01
248, 575.63, 1131.22, 254.08
249, 423.65, 1787.34, 173.55
250, 455.79, 1149.66, 245.61
251, 873.44, 1795.54, 178.07
252, 179.17, 1005.14, 243.55
253, 845.65, 1369.20, 217.39
254, 819.40, 1071.56, 258.39
255, 160.44, 1082.33, 231.56
256, 1024.53, 1772.39, 176.90
257, 697.53, 789.97, 323.32
258, 262.34, 1219.25, 219.75
259, 267.99, 792.50, 294.80
260, 1018.52, 1732.03, 180.52
